"CMD","PID","HEIGHT"
"96 - Motor Idle","9","162"
"196 - Pre-move","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"134 - Raise","18","162"
"2 - Motor Busy","8","165"
"2 - Motor Busy","9","162"
"134 - Raise","18","162"
"2 - Motor Busy","8","165"
"2 - Motor Busy","9","162"
"134 - Raise","18","162"
"2 - Motor Busy","8","165"
"2 - Motor Busy","9","162"
"134 - Raise","18","162"
"2 - Motor Busy","8","171"
"2 - Motor Busy","9","168"
"134 - Raise","18","168"
"2 - Motor Busy","8","189"
"2 - Motor Busy","9","186"
"134 - Raise","18","186"
"2 - Motor Busy","8","216"
"2 - Motor Busy","9","216"
"134 - Raise","18","216"
"2 - Motor Busy","8","252"
"2 - Motor Busy","9","255"
"134 - Raise","18","252"
"2 - Motor Busy","8","288"
"2 - Motor Busy","9","291"
"134 - Raise","18","288"
"2 - Motor Busy","8","324"
"2 - Motor Busy","9","327"
"134 - Raise","18","324"
"2 - Motor Busy","8","360"
"2 - Motor Busy","9","366"
"134 - Raise","18","360"
"2 - Motor Busy","8","396"
"2 - Motor Busy","9","402"
"134 - Raise","18","396"
"2 - Motor Busy","8","429"
"2 - Motor Busy","9","438"
"134 - Raise","18","429"
"2 - Motor Busy","8","465"
"2 - Motor Busy","9","474"
"134 - Raise","18","465"
"2 - Motor Busy","8","501"
"2 - Motor Busy","9","510"
"135 - Fine Move","18","627"
"3 - Motor Busy (Fine)","8","537"
"3 - Motor Busy (Fine)","9","546"
"135 - Fine Move","18","627"
"3 - Motor Busy (Fine)","8","561"
"3 - Motor Busy (Fine)","9","573"
"135 - Fine Move","18","627"
"3 - Motor Busy (Fine)","8","576"
"3 - Motor Busy (Fine)","9","585"
"132 - ?Finalize?","18","585"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
