"CMD","PID","HEIGHT"
"133 - Lower","18","6546"
"2 - Motor Busy","8","6510"
"2 - Motor Busy","9","6513"
"133 - Lower","18","6513"
"2 - Motor Busy","8","6477"
"2 - Motor Busy","9","6480"
"133 - Lower","18","6480"
"2 - Motor Busy","8","6444"
"2 - Motor Busy","9","6444"
"133 - Lower","18","6444"
"2 - Motor Busy","8","6411"
"2 - Motor Busy","9","6411"
"133 - Lower","18","6411"
"2 - Motor Busy","8","6378"
"2 - Motor Busy","9","6378"
"133 - Lower","18","6378"
"2 - Motor Busy","8","6345"
"2 - Motor Busy","9","6342"
"133 - Lower","18","6345"
"2 - Motor Busy","8","6312"
"2 - Motor Busy","9","6309"
"133 - Lower","18","6312"
"2 - Motor Busy","8","6279"
"2 - Motor Busy","9","6273"
"133 - Lower","18","6279"
"2 - Motor Busy","8","6246"
"2 - Motor Busy","9","6240"
"133 - Lower","18","6246"
"2 - Motor Busy","8","6213"
"2 - Motor Busy","9","6207"
"133 - Lower","18","6213"
"2 - Motor Busy","8","6177"
"2 - Motor Busy","9","6174"
"133 - Lower","18","6177"
"2 - Motor Busy","8","6144"
"2 - Motor Busy","9","6138"
"135 - Fine Move","18","6030"
"3 - Motor Busy (Fine)","8","6114"
"3 - Motor Busy (Fine)","9","6105"
"135 - Fine Move","18","6030"
"3 - Motor Busy (Fine)","8","6090"
"3 - Motor Busy (Fine)","9","6081"
"135 - Fine Move","18","6030"
"3 - Motor Busy (Fine)","8","6078"
"3 - Motor Busy (Fine)","9","6069"
"132 - ?Finalize?","18","6078"
"96 - Motor Idle","8","6072"
"96 - Motor Idle","9","6063"
"252 - Idle","18","6072"
"96 - Motor Idle","8","6072"
"96 - Motor Idle","9","6063"
"252 - Idle","18","6072"
"96 - Motor Idle","8","6072"
"96 - Motor Idle","9","6063"
"252 - Idle","18","6072"
"96 - Motor Idle","8","6072"
"96 - Motor Idle","9","6063"
"252 - Idle","18","6072"
"96 - Motor Idle","8","6072"
"96 - Motor Idle","9","6063"
"252 - Idle","18","6072"
"96 - Motor Idle","8","6072"
"96 - Motor Idle","9","6063"
"252 - Idle","18","6072"
"96 - Motor Idle","8","6072"
"96 - Motor Idle","9","6063"
"252 - Idle","18","6072"
"96 - Motor Idle","8","6072"
"96 - Motor Idle","9","6063"
"252 - Idle","18","6072"
"96 - Motor Idle","8","6072"
"96 - Motor Idle","9","6063"
"252 - Idle","18","6072"
"96 - Motor Idle","8","6072"
"96 - Motor Idle","9","6063"
"252 - Idle","18","6072"
"96 - Motor Idle","8","6072"
"96 - Motor Idle","9","6063"
"252 - Idle","18","6072"
"96 - Motor Idle","8","6072"
"96 - Motor Idle","9","6063"
